0.6258242,0.0717092,-0.39450866,-0.31049928
0.35056624,0.47936314,-0.47431973,-0.37241656
-0.14379236,-0.5968943,0.8676966,-0.05238187
-0.44462702,-0.14080371,-0.26795402,0.8262714
-0.32198408,-0.20514964,-0.26558933,0.7826669
-0.16634928,0.74676776,-0.36100557,-0.306967
-0.04906048,-0.0249872,0.5617731,-0.45282528
-0.5830822,-0.26491567,0.774422,0.08819567
0.69320124,0.17580105,-0.2753324,-0.5689083
-0.33494958,-0.18548334,-0.25267258,0.76086855
0.07331962,0.5159925,-0.30534327,-0.35130402
0.78126323,0.06373129,-0.3459273,-0.46906286
0.16506664,-0.6629849,0.82898575,-0.21856348
-0.20922312,0.7945995,-0.40378332,-0.27944702
-0.5832178,-0.12578602,0.7492298,-0.042496756
-0.4627569,-0.12989026,-0.27660418,0.8386192
0.62038547,0.05009829,0.029874044,-0.6710447
-0.15209149,0.72550577,-0.35252342,-0.30411014
-0.26451766,0.720898,-0.32718378,-0.22672644
-0.20493956,0.68941647,-0.28047404,-0.29117808
-0.19630486,0.6016074,-0.23890378,-0.24011971
-0.30481213,0.0067776428,-0.165741,0.44443315
-0.19326606,0.67291886,-0.2726128,-0.28971788
0.1984477,-0.55760235,0.8277212,-0.3729628
-0.30476293,-0.23576212,-0.26772404,0.80085367
0.5301582,0.35714275,-0.5083598,-0.3836337
-0.3119875,-0.23686309,-0.28464156,0.8224748
-0.10811863,0.7139901,-0.40059525,-0.29233426
-0.27641284,-0.52921444,0.8906289,-0.03173447
-0.074318334,0.68468165,-0.3830154,-0.3064592
-0.22153322,0.6925089,-0.25807592,-0.3005269
0.78305304,-0.0039666933,-0.324616,-0.43175152
-0.3077814,-0.2337795,-0.29102832,0.8227351
0.82767326,0.030320548,-0.31180167,-0.51548207
0.31726354,0.51202714,-0.5428993,-0.31975597
-0.3009162,-0.21467336,-0.2436573,0.7552394
-0.19929385,-0.5515569,0.86329585,-0.050001122
-0.5419623,0.034682717,-0.21598408,0.69185895
0.82206434,-8.366933e-05,-0.31041506,-0.4825287
0.4811692,0.2954723,-0.34450388,-0.4355724
0.4387395,0.32275242,-0.26008704,-0.49000478
-0.22135384,0.7465923,-0.35601056,-0.26537862
0.42828876,0.3263921,-0.4006921,-0.36630604
-0.20297325,0.7031448,-0.2979203,-0.29395342
-0.41651377,-0.21365045,0.77812034,-0.13503952
-0.27553424,0.64656836,-0.34094,-0.13318881
-0.14795688,0.6626088,-0.28709558,-0.3058635
0.059101343,0.6146875,-0.37029377,-0.35540152
-0.23537265,-0.23230605,0.8307407,-0.3397246
0.29476357,0.528817,-0.43700308,-0.39905557
-0.15993921,0.7411357,-0.3615495,-0.30837616
-0.29532406,-0.12341766,-0.23372756,0.63890594
-0.17934188,0.7480246,-0.37562832,-0.2927732
-0.33830756,-0.4894778,0.903533,-0.032291673
-0.30074528,-0.5458038,0.8851615,0.016751489
-0.3069284,-0.19276075,-0.19839047,0.68736863
-0.56349105,0.020259054,-0.2093468,0.7273044
0.36897296,0.51546675,-0.5241171,-0.3828331
0.7937674,0.083651125,-0.3294421,-0.5170115
0.5800821,0.24979776,-0.28500938,-0.53057134
0.7766176,0.06626747,-0.30489218,-0.5045054
-0.32177603,-0.22891068,-0.29951483,0.83629036
