-0.31441897,0.46716088,-0.19211814
-0.4175153,0.5439985,-0.15187557
-0.5745232,0.59780306,-0.03786499
0.73617494,-0.59198725,-0.12882021
-0.3326088,0.40962163,-0.07545605
-0.4838904,0.58205444,-0.11647597
0.69511926,-0.47083536,-0.2157656
-0.31124836,0.47184905,-0.20287228
-0.5308677,0.535468,-0.008946396
-0.29965892,0.46041143,-0.20169397
-0.37677813,0.5544164,-0.22641666
-0.4214036,0.3527251,0.13283694
-0.38475585,0.53538764,-0.20982124
0.7760192,-0.666771,-0.08599287
-0.49378157,0.55991435,-0.0720109
0.6390988,-0.3534787,-0.29873338
0.5066296,-0.42404073,-0.031734258
0.75543094,-0.6383493,-0.09206577
-0.3057935,0.4692762,-0.20637256
0.66199875,-0.5612406,-0.06521135
-0.16469486,0.36977285,-0.25932503
-0.492035,0.6350918,-0.18234715
0.72107744,-0.5160799,-0.18974306
-0.5045637,0.64615214,-0.18112406
0.7589505,-0.650492,-0.08780082
-0.3673087,0.4328138,-0.058856793
0.77974296,-0.6423665,-0.12572517
-0.480061,0.6242548,-0.18382058
0.64984035,-0.56174886,-0.060323223
-0.28175825,0.4477554,-0.20928207
0.56571543,-0.4460943,-0.08668938
-0.3202556,0.47159645,-0.2076521
-0.3791973,0.55201936,-0.2190998
0.72780114,-0.55120337,-0.17067589
-0.37011427,0.51347816,-0.19875003
0.52281785,-0.3183425,-0.19301072
0.57490194,-0.44735184,-0.09747663
-0.10683735,-0.15165994,0.424898
0.7141309,-0.5772377,-0.11897426
-0.24137047,0.41013044,-0.20000781
0.5350013,-0.4435835,-0.055900924
0.6334835,-0.5548548,-0.03693686
0.5263553,-0.5354687,0.07370216
0.6170485,-0.6092158,0.09276569
0.5952849,-0.5260159,-0.021181326
0.73830044,-0.60590565,-0.112260826
-0.19193494,0.3670791,-0.22063193
-0.32458675,0.4783796,-0.2104399
-0.33386064,0.48554164,-0.20718262
-0.4181936,0.56131446,-0.2018764
0.60072494,-0.32577732,-0.28701562
-0.5518886,0.57941544,-0.04334966
0.68255925,-0.5141119,-0.15588556
-0.5148989,0.6506659,-0.17264464
0.7397684,-0.6680782,-0.04640518
0.6482967,-0.6087769,0.011200827
-0.5087171,0.6475327,-0.17706627
-0.627063,0.582272,0.062131777
-0.21966688,0.38832277,-0.20920537
0.70909953,-0.48800635,-0.21311048
0.5225014,-0.43301973,-0.043178152
-0.11269821,0.23743062,-0.1154385
0.6563837,-0.6088526,0.0003019534
-0.59408617,0.6490691,-0.081160896
0.18841015,-0.41129896,0.37166947
0.6704565,-0.53345126,-0.12432117
-0.5332536,0.5338336,-0.0031498373
0.67783076,-0.5944355,-0.053397324
-0.24857898,0.4155575,-0.20493025
0.7421107,-0.6143603,-0.105943695
0.65091515,-0.6053927,0.0029226653
0.65217566,-0.5481201,-0.072016574
-0.37899625,0.5595373,-0.23029815
