-0.5253819,-0.081131786,0.004060133,-0.12810718,0.07779574,0.56856054
-0.11134851,-0.2291578,0.23404448,0.18051451,-0.12983942,0.05799237
-0.41268307,-0.117414564,-0.038307726,-0.10050836,0.22973727,0.33769843
-0.12883303,-0.17947115,0.42828545,0.27033916,-0.30026,0.0042879153
-0.48053178,-0.20809282,0.031304844,-0.0072683804,-0.024997747,0.6107342
-0.13284194,0.0056071617,0.55623573,0.11826365,-0.5396795,0.093825504
-0.12037817,-0.13456191,0.4808507,0.1989863,-0.35789424,0.029685829
-0.036912307,0.23803648,-0.34163752,-0.3252741,0.27477777,0.0680121
-0.11258074,0.34973723,-0.08643549,-0.30764943,0.02765807,0.05899027
-0.57700855,-0.17546254,0.060582615,-0.09644429,0.08391994,0.6160503
0.064346194,-0.20193636,0.16504313,0.37620494,-0.17881233,-0.18774678
0.38303035,0.13924783,0.024818199,0.025793104,-0.19905506,-0.35073557
-0.121128544,-0.086874366,0.50754774,0.1431732,-0.41873854,0.059828497
0.42125922,0.03508073,-0.012400042,0.063279495,-0.10191384,-0.38532472
0.3610632,0.16070925,-0.17298074,-0.12010397,0.0324367,-0.31154996
-0.43272746,-0.08572229,-0.008284276,-0.12745395,0.19231987,0.37075892
-0.023708709,0.43457842,-0.11834167,-0.35454664,0.007591516,-0.01657093
-0.089466944,0.14283316,-0.29836288,-0.29093796,0.3211843,0.13416338
0.37929258,0.05085203,0.06450544,0.0841174,-0.13786505,-0.3969533
0.013138662,0.43672726,-0.116725706,-0.33611944,-0.008645171,-0.060458485
-0.3189472,-0.17175458,-0.15297589,-0.031918142,0.3197963,0.25924706
-0.13600284,-0.3943187,0.26221356,0.383812,-0.13771644,0.04096017
-0.17274196,0.34670022,0.010133991,-0.313764,-0.03420115,0.103719786
-0.18716833,-0.21974555,-0.26779312,0.0265292,0.3584925,0.17914046
-0.4421324,-0.22307006,0.0014908947,-0.034405954,-1.8637627e-05,0.5954182
-0.091713004,0.29991052,0.09901661,-0.21439146,-0.09193544,-0.009614194
0.2576774,-0.083365716,-0.0687502,0.019045556,0.052628372,-0.1570597
