0,0.1,0.0,0.14,0.02,0.0,0.03,0.0,0.0,0.0
1,0.12,0.0,0.18,0.02,0.01,0.04,0.07,0.0,0.0
2,0.13,0.0,0.16,0.02,0.01,0.04,0.16,0.0,0.0
3,0.16,0.01,0.23,0.04,0.01,0.04,0.04,0.0,0.01
4,0.16,0.01,0.21,0.05,0.02,0.07,0.04,0.0,0.02
5,0.18,0.02,0.21,0.05,0.02,0.08,0.0,0.0,0.03
6,0.2,0.02,0.18,0.07,0.03,0.1,0.07,0.01,0.03
7,0.22,0.03,0.23,0.08,0.03,0.09,0.04,0.02,0.04
8,0.23,0.03,0.25,0.09,0.04,0.1,0.07,0.02,0.04
9,0.26,0.04,0.25,0.11,0.05,0.11,0.1,0.03,0.05
10,0.27,0.05,0.23,0.12,0.06,0.13,0.04,0.03,0.06
11,0.29,0.05,0.27,0.14,0.07,0.13,0.07,0.04,0.07
12,0.3,0.06,0.27,0.15,0.08,0.14,0.13,0.05,0.08
13,0.32,0.07,0.27,0.16,0.08,0.15,0.07,0.05,0.09
14,0.33,0.07,0.31,0.18,0.1,0.16,0.16,0.06,0.1
15,0.34,0.08,0.29,0.19,0.1,0.18,0.1,0.07,0.11
16,0.36,0.09,0.33,0.2,0.12,0.18,0.07,0.08,0.12
17,0.37,0.09,0.33,0.22,0.12,0.18,0.1,0.09,0.13
18,0.39,0.1,0.29,0.23,0.13,0.2,0.13,0.1,0.14
19,0.39,0.11,0.35,0.24,0.14,0.22,0.1,0.11,0.14
20,0.4,0.11,0.35,0.25,0.15,0.22,0.1,0.12,0.15
21,0.41,0.12,0.35,0.26,0.15,0.22,0.1,0.13,0.16
22,0.42,0.12,0.35,0.27,0.16,0.24,0.07,0.14,0.17
23,0.43,0.13,0.35,0.28,0.17,0.24,0.1,0.15,0.19
24,0.44,0.14,0.35,0.29,0.18,0.24,0.13,0.15,0.19
25,0.45,0.15,0.37,0.31,0.2,0.28,0.13,0.17,0.2
26,0.46,0.16,0.37,0.32,0.21,0.28,0.16,0.19,0.22
27,0.47,0.17,0.39,0.33,0.22,0.28,0.13,0.2,0.23
28,0.48,0.18,0.39,0.34,0.23,0.3,0.13,0.21,0.24
29,0.49,0.18,0.37,0.35,0.24,0.3,0.19,0.22,0.25
30,0.5,0.19,0.39,0.37,0.25,0.32,0.13,0.24,0.27
31,0.51,0.2,0.37,0.38,0.26,0.32,0.19,0.24,0.27
32,0.51,0.2,0.41,0.38,0.27,0.33,0.19,0.25,0.28
33,0.53,0.22,0.41,0.4,0.28,0.34,0.16,0.27,0.29
34,0.53,0.22,0.39,0.4,0.28,0.34,0.16,0.27,0.29
35,0.54,0.23,0.43,0.42,0.3,0.36,0.13,0.3,0.32
36,0.55,0.24,0.41,0.43,0.31,0.36,0.19,0.3,0.32
37,0.56,0.25,0.43,0.44,0.32,0.38,0.16,0.31,0.34
38,0.56,0.25,0.41,0.44,0.32,0.39,0.19,0.32,0.34
39,0.56,0.26,0.43,0.45,0.33,0.39,0.19,0.33,0.35
40,0.57,0.27,0.43,0.46,0.34,0.42,0.19,0.34,0.36
41,0.58,0.28,0.47,0.47,0.35,0.41,0.22,0.35,0.37
