0,0.13,0.16,0.73,0.14,0.21,0.1,0.35,0.02,0.04
1,0.12,0.17,0.46,0.14,0.22,0.1,0.44,0.02,0.01
2,0.13,0.18,0.65,0.14,0.22,0.07,0.26,0.03,0.03
3,0.12,0.16,0.65,0.14,0.22,0.1,0.35,0.02,0.01
4,0.15,0.19,0.57,0.14,0.22,0.1,0.26,0.0,0.03
5,0.16,0.18,0.46,0.11,0.21,0.12,0.18,0.02,0.03
6,0.13,0.18,0.57,0.11,0.22,0.1,0.35,0.02,0.01
7,0.15,0.21,0.65,0.11,0.23,0.1,0.26,0.02,0.01
8,0.13,0.18,0.73,0.11,0.22,0.12,0.26,0.02,0.01
9,0.16,0.19,0.57,0.14,0.22,0.1,0.35,0.0,0.01
10,0.15,0.19,0.57,0.09,0.21,0.1,0.44,0.02,0.01
11,0.16,0.21,0.65,0.14,0.23,0.12,0.35,0.03,0.03
12,0.18,0.2,0.38,0.11,0.22,0.1,0.44,0.0,0.0
13,0.19,0.2,0.57,0.11,0.21,0.1,0.35,0.03,0.03
14,0.19,0.21,0.73,0.09,0.22,0.1,0.35,0.03,0.03
15,0.19,0.21,0.65,0.09,0.22,0.14,0.35,0.03,0.01
16,0.2,0.21,0.73,0.17,0.23,0.12,0.26,0.02,0.03
17,0.23,0.21,0.84,0.13,0.22,0.12,0.56,0.03,0.04
18,0.2,0.21,0.65,0.09,0.24,0.14,0.35,0.05,0.03
19,0.19,0.21,0.73,0.11,0.23,0.14,0.35,0.05,0.01
20,0.23,0.23,0.65,0.13,0.24,0.12,0.35,0.02,0.06
21,0.23,0.25,0.57,0.11,0.24,0.17,0.35,0.06,0.04
22,0.23,0.22,0.73,0.14,0.25,0.14,0.35,0.05,0.04
23,0.25,0.23,0.73,0.14,0.25,0.14,0.35,0.06,0.06
24,0.26,0.24,0.73,0.14,0.26,0.19,0.44,0.07,0.07
25,0.25,0.24,0.84,0.14,0.25,0.17,0.44,0.07,0.04
26,0.25,0.23,0.73,0.14,0.24,0.17,0.35,0.07,0.06
27,0.25,0.24,0.57,0.13,0.26,0.17,0.44,0.07,0.06
28,0.28,0.24,0.84,0.14,0.25,0.17,0.35,0.09,0.07
29,0.28,0.25,0.84,0.14,0.27,0.19,0.35,0.07,0.07
30,0.28,0.26,0.73,0.18,0.27,0.22,0.44,0.1,0.08
31,0.26,0.26,0.73,0.17,0.27,0.22,0.56,0.09,0.07
32,0.28,0.24,0.92,0.18,0.27,0.22,0.56,0.1,0.1
33,0.29,0.28,0.65,0.17,0.27,0.24,0.44,0.11,0.1
34,0.29,0.26,0.65,0.18,0.28,0.19,0.65,0.11,0.13
35,0.28,0.27,1.0,0.18,0.28,0.24,0.44,0.11,0.11
36,0.29,0.28,0.73,0.17,0.28,0.27,0.56,0.13,0.1
37,0.29,0.28,0.73,0.13,0.28,0.27,0.56,0.13,0.13
38,0.31,0.27,0.73,0.17,0.28,0.3,0.44,0.13,0.11
39,0.35,0.28,0.65,0.18,0.29,0.27,0.44,0.14,0.13
40,0.31,0.29,0.84,0.17,0.29,0.3,0.44,0.14,0.14
41,0.31,0.29,0.65,0.2,0.29,0.3,0.65,0.17,0.16
42,0.29,0.28,0.65,0.18,0.29,0.32,0.65,0.17,0.16
43,0.31,0.3,0.65,0.18,0.29,0.34,0.65,0.18,0.14
44,0.32,0.3,0.73,0.18,0.31,0.34,0.44,0.17,0.16
45,0.32,0.3,0.65,0.2,0.29,0.37,0.56,0.17,0.17
46,0.32,0.32,0.84,0.18,0.31,0.37,0.56,0.2,0.17
47,0.34,0.31,0.73,0.22,0.31,0.39,0.56,0.21,0.17
48,0.32,0.31,0.73,0.22,0.31,0.37,0.35,0.21,0.19
49,0.34,0.31,0.73,0.2,0.31,0.37,0.65,0.21,0.17
50,0.32,0.33,0.73,0.2,0.34,0.41,0.44,0.23,0.21
51,0.34,0.33,0.73,0.22,0.33,0.39,0.56,0.23,0.2
52,0.34,0.33,1.0,0.22,0.33,0.39,0.65,0.24,0.2
53,0.35,0.33,0.73,0.22,0.34,0.44,0.56,0.27,0.23
54,0.34,0.33,0.73,0.22,0.32,0.41,0.44,0.24,0.21
55,0.34,0.34,0.57,0.2,0.34,0.44,0.65,0.25,0.24
56,0.35,0.34,0.84,0.22,0.35,0.46,0.35,0.24,0.23
57,0.34,0.35,0.65,0.2,0.34,0.44,0.56,0.24,0.23
58,0.34,0.34,0.73,0.2,0.35,0.44,0.44,0.27,0.23
59,0.35,0.35,0.73,0.22,0.34,0.46,0.65,0.25,0.23
60,0.35,0.36,0.73,0.22,0.36,0.46,0.35,0.25,0.25
