1,0,25,20236.0, 0.220009, 6.829991, 12.527395, -8.194431, -27.116866, 46119.0, 0.737456, 12.345726, 18.086571, -14.623514, -34.845844, 2815.0, 0.020464, 1.621268, 3.128345, -1.358425, -4.315983, 20404.0, 0.218057, 9.127316, 14.071746, -7.85015, -27.808229, 53275.0, 0.784067, 14.627458, 24.25717, -16.816808, -36.302909, 3294.0, 0.024559, 0.917499, 2.821774, -1.459102, -5.447418, 1245.0, 0.008784, 0.85512, 3.271781, -0.586863, -2.465356, 4981.0, 0.038494, 1.322188, 3.270532, -2.127663, -9.521528, 4750.0, 0.036653, 1.660282, 3.543847, -2.035906, -9.689633
1,0,25,20783.0, 0.22195, 5.628887, 12.525671, -8.828754, -27.665967, 48718.0, 0.756408, 11.549966, 16.478947, -14.100574, -30.464418, 2492.0, 0.018121, 0.69947, 2.625893, -1.114719, -3.758022, 21463.0, 0.226841, 6.060636, 12.378522, -8.789471, -27.104439, 54441.0, 0.78689, 13.833745, 23.418594, -16.266931, -30.638475, 3085.0, 0.022988, 0.908836, 2.956191, -1.376156, -5.064478, 906.0, 0.006393, 0.306673, 1.830608, -0.516158, -3.167776, 5209.0, 0.040171, 1.364957, 3.325214, -2.216633, -9.64775, 5177.0, 0.039936, 1.39197, 3.256104, -2.19242, -9.199587
1,0,25,22574.0, 0.24525, 5.627402, 12.904351, -6.139235, -29.758127, 49754.0, 0.774719, 11.856146, 16.818676, -13.993039, -28.814806, 2536.0, 0.018477, 0.593391, 2.745221, -0.922617, -4.481412, 22420.0, 0.238765, 6.076698, 12.188205, -6.218234, -28.028851, 55872.0, 0.8159, 14.260443, 23.830026, -16.255364, -30.209373, 2918.0, 0.021756, 0.852983, 2.362791, -0.95026, -5.962125, 782.0, 0.005517, 0.253404, 1.457286, -0.304556, -1.842832, 5202.0, 0.040093, 1.467223, 3.549268, -1.812252, -9.936751, 5238.0, 0.04037, 1.39857, 3.148002, -1.803132, -9.643652
1,0,25,20678.0, 0.224161, 5.755768, 12.953743, -9.271424, -26.462814, 43434.0, 0.67148, 12.294539, 17.485815, -14.682278, -29.572307, 2074.0, 0.0151, 0.59977, 8.213142, -1.331934, -5.465039, 20489.0, 0.217896, 6.211923, 12.117846, -9.103202, -26.545765, 51309.0, 0.746378, 14.540384, 26.633308, -16.624078, -30.462195, 2579.0, 0.019244, 0.813603, 2.21974, -1.377593, -3.951815, 752.0, 0.00531, 0.268237, 1.688579, -0.389377, -2.207145, 4547.0, 0.035003, 1.399386, 3.956669, -2.189802, -9.090546, 4475.0, 0.034449, 1.555287, 3.896038, -2.346533, -6.89202
1,0,25,19204.0, 0.202001, 12.281343, 44.663779, -6.634801, -86.745277, 46167.0, 0.715767, 32.636188, 114.935497, -8.864993, -155.710291, 2194.0, 0.015845, -9.201023, 4.64746, -15.91127, -12.761037, 19062.0, 0.197068, 14.963546, 48.118614, -4.300188, -86.904327, 51950.0, 0.749942, 32.262109, 136.459863, -13.800848, -170.976821, 2608.0, 0.019225, -8.990574, 6.19646, -16.070164, -12.437534, 861.0, 0.00604, -0.074066, 2.135909, -0.851634, -4.550199, 4266.0, 0.032733, 2.901412, 11.571261, -1.300947, -20.108017, 4261.0, 0.032675, 1.280766, 11.768321, -3.024746, -19.863064
1,0,25,18192.0, 0.19214, 9.89877, 45.550364, -7.814482, -83.473035, 45846.0, 0.720124, 27.51367, 115.252829, -14.954882, -145.53933, 2106.0, 0.015232, -4.572444, 5.549444, -9.441165, -10.29805, 18730.0, 0.195432, 11.65304, 51.067516, -6.397323, -85.26105, 52294.0, 0.764633, 28.305825, 139.765212, -20.195752, -167.654059, 2557.0, 0.018898, -4.360381, 6.568029, -9.77363, -13.02517, 804.0, 0.005649, -0.028937, 2.239267, -0.809889, -4.551252, 4207.0, 0.032328, 2.503979, 11.994392, -1.637797, -20.78525, 4279.0, 0.032881, 1.661561, 11.926734, -2.77187, -20.015214
1,0,25,18489.0, 0.197591, 9.073541, 47.302471, -8.457515, -77.937537, 45554.0, 0.721899, 24.928499, 114.258763, -18.424264, -146.000963, 1915.0, 0.01386, -2.079364, 5.740336, -5.831044, -10.129842, 18950.0, 0.199734, 10.297264, 51.940395, -7.090828, -77.752197, 52064.0, 0.764242, 26.164714, 138.956372, -23.056855, -168.656181, 2359.0, 0.017453, -1.847471, 6.927121, -6.107882, -11.150781, 651.0, 0.004577, -0.003404, 2.29801, -0.812416, -3.450648, 4299.0, 0.033104, 2.356829, 11.673867, -1.831531, -18.26621, 4219.0, 0.032459, 1.920406, 12.273836, -2.41961, -17.574288
1,0,25,23859.0, 0.247796, 9.585127, 22.6037, -10.602159, -35.762454, 55461.0, 0.789683, 18.911814, 28.975359, -14.571182, -30.152196, 1633.0, 0.011663, -0.001666, 3.657061, -4.430591, -3.719537, 24090.0, 0.248243, 9.07355, 26.907791, -10.811927, -36.064337, 50449.0, 0.604194, 18.50929, 39.279346, -16.765737, -29.440041, 1941.0, 0.014124, -0.097651, 2.422969, -6.412641, -3.777958, 1276.0, 0.00892, 0.37982, 2.331511, -0.713024, -4.716296, 4477.0, 0.033616, 1.314075, 2.795151, -2.025519, -9.614517, 4624.0, 0.034758, 2.457644, 3.078516, -1.93082, -9.583078
1,0,25,20314.0, 0.218637, 17.427152, 70.270839, -3.185208, -87.941166, 45306.0, 0.728861, 45.125771, 153.388842, -3.789021, -141.068561, 2384.0, 0.017305, -2.605527, 7.520992, -5.218936, -10.822082, 20212.0, 0.214208, 19.769389, 72.677824, -1.341843, -86.31763, 51707.0, 0.77531, 43.555444, 169.603201, -10.527457, -166.489427, 2976.0, 0.022152, 6.250158, 10.343864, 2.241312, -13.576604, 1056.0, 0.007439, -2.277577, 3.357995, -3.904135, -4.733695, 5171.0, 0.040406, 3.529844, 17.775771, -1.474113, -22.790352, 5075.0, 0.03957, 5.880366, 17.207682, 0.458159, -21.674525
1,0,25,20980.0, 0.225966, 14.212789, 56.880945, -6.268747, -88.977711, 46871.0, 0.743878, 36.750364, 123.633111, -11.766247, -146.791191, 2162.0, 0.015709, -1.09935, 5.558089, -3.173415, -9.270289, 20996.0, 0.222517, 15.721071, 60.206347, -5.063779, -88.802914, 53137.0, 0.792474, 36.053729, 145.023558, -17.529618, -170.541965, 2876.0, 0.021419, 3.852127, 8.497029, 0.665118, -12.911963, 966.0, 0.006812, -1.17968, 2.91666, -2.330387, -4.978568, 5290.0, 0.041233, 3.581078, 16.252614, -1.576079, -23.518817, 5164.0, 0.040189, 4.763902, 16.152428, -0.511885, -23.220791
