-0.4334954,-0.29748958,-0.06822024,1.9068223,1.7110951,-0.77153957,0.82639694,-0.7894753,0.6599813,0.11227456,-1.6977247,-0.7001346,-1.2484759,0.18335226,0.56809175,0.7563634,-0.46634358,-1.6843637,1.1201609,-0.8249715,-0.93650234,1.1935779,1.2714181,1.2237179,-1.0233665,-1.1486499,0.35658118,-0.2413456,-1.1348758,1.6354731,-0.06723487,0.091551624,-1.8998613,1.418409,0.6316952,0.09150065,-0.47194618,-0.78387964,0.30571663,0.8044838,-1.1051736,-0.3921019,0.4069474,0.5965302,-0.6098808,2.118082,-1.061817,0.14189212,-0.6759889,-0.18337068,0.45591944,-1.831218,0.38404852,1.6368408,-0.25210124,0.466409
-0.34061366,-0.2683842,-0.093539745,2.1692464,1.9216492,-0.7245043,0.6496571,-0.7408032,0.57432956,0.112455726,-1.7853235,-0.79864615,-1.3747721,0.17911392,0.5803521,0.71157134,-0.48589203,-1.5402262,1.0554979,-0.796206,-0.71426064,0.93684477,1.2347445,1.1409944,-1.0670502,-1.0183656,0.34543085,-0.20905626,-1.1792368,1.603921,-0.105115615,0.095835745,-2.0517406,1.2826091,0.365322,0.37509924,-0.266906,-0.804353,0.25298488,0.51901704,-1.1990367,-0.028767666,0.66473454,0.7252024,-0.94242483,2.0467162,-0.8976878,0.11088908,-0.7773109,-0.15988934,0.30481663,-1.773847,0.4419483,1.6774663,-0.18668342,0.47405174
-0.42263728,-0.29660928,-0.07039848,1.9392729,1.7309431,-0.76503074,0.8015555,-0.7916254,0.6534828,0.11101622,-1.7063303,-0.7078661,-1.2601118,0.18369186,0.5717204,0.7443338,-0.46675768,-1.675541,1.1149391,-0.82188,-0.90658796,1.158211,1.27161,1.2170064,-1.0248832,-1.1410426,0.3510946,-0.23961104,-1.1415195,1.6395714,-0.06375207,0.09517775,-1.8761859,1.4422352,0.6152841,0.061794583,-0.40338746,-0.78979576,0.33741736,0.80622905,-1.1288387,-0.38454643,0.37453383,0.604371,-0.65236485,2.1119785,-1.0705096,0.14106451,-0.67985946,-0.1802381,0.44479707,-1.8312954,0.38513547,1.6412382,-0.24108186,0.4617167
-0.43204585,-0.3034073,-0.0720281,1.9009168,1.7058296,-0.7739155,0.8295983,-0.7917056,0.6601278,0.111095026,-1.6863415,-0.7000662,-1.2456629,0.1790251,0.5720197,0.7580874,-0.46751043,-1.6895696,1.1205804,-0.8212575,-0.93958867,1.1947984,1.2734495,1.2271873,-1.0207021,-1.1561452,0.35769078,-0.2384713,-1.1383685,1.6385949,-0.06753277,0.09864682,-1.900748,1.4172583,0.63850635,0.0887696,-0.47694793,-0.7827034,0.30509707,0.80831707,-1.1031853,-0.39715815,0.40425432,0.59455764,-0.60330033,2.1173792,-1.0612639,0.14221978,-0.66980976,-0.18358365,0.4605641,-1.8343428,0.38075843,1.636477,-0.25293356,0.46334463
-0.33414128,-0.2780412,-0.0940636,2.181775,1.9273212,-0.728242,0.63805836,-0.7434972,0.5710233,0.11116271,-1.7767671,-0.80593,-1.3741866,0.17016566,0.58337474,0.6997295,-0.48640665,-1.5369401,1.0597515,-0.7873654,-0.7080949,0.9161921,1.2375728,1.1440126,-1.0645497,-1.0133499,0.34561947,-0.20138136,-1.186812,1.608245,-0.10473741,0.10032489,-2.0643091,1.2702464,0.3531771,0.39220935,-0.26349345,-0.8034208,0.24971755,0.49886242,-1.2011921,-0.007801909,0.68172014,0.73511,-0.9548742,2.0347307,-0.88602245,0.114563376,-0.7730136,-0.15706095,0.3052579,-1.7802249,0.4412764,1.6752297,-0.18126728,0.47004437
-0.48032254,-0.25655293,-0.18698694,1.780758,1.7045354,-0.64439136,0.6652382,-0.80324095,0.70616186,0.12653156,-1.5558194,-0.63202953,-1.4113667,0.21858183,0.58150774,0.94209605,-0.5878778,-1.6168352,1.147979,-0.99769586,-0.81269896,1.217131,1.1632414,1.2551926,-1.2045262,-1.1145843,0.48266742,-0.2291005,-1.199011,1.6156281,-0.05403709,0.26517528,-1.7670678,1.4056237,0.6740592,0.05226696,-0.54092634,-0.8318109,0.38834128,0.8740588,-1.0542458,-0.41601723,0.24470791,0.6467772,-0.64450943,2.161375,-1.0885111,0.09715033,-0.6786813,-0.22866035,0.519136,-1.8116989,0.35003275,1.6495012,-0.2383847,0.4430762
-0.441962,-0.29368898,-0.053859137,1.8925257,1.6928105,-0.7728356,0.8368732,-0.812959,0.6692492,0.104672186,-1.6913319,-0.68316627,-1.2372222,0.19427094,0.5555621,0.7426262,-0.45342895,-1.7093593,1.1385281,-0.8172542,-0.95589876,1.1945534,1.281466,1.2181412,-1.0039593,-1.1623521,0.33855307,-0.25224394,-1.1168742,1.6525347,-0.056166615,0.08546491,-1.6675867,1.8359118,0.60700405,-0.15332176,-0.08933608,-0.8291998,0.61638975,0.49596286,-1.2662078,-0.26389354,0.39326045,0.60884374,-0.6856326,1.8010119,-1.3006573,0.07627313,-0.6644057,-0.1782166,0.46486083,-1.8383838,0.3674874,1.6367004,-0.25243762,0.4646855
-0.43961427,-0.29900584,-0.043178987,1.8874354,1.6850953,-0.77734387,0.8415934,-0.8263247,0.6745364,0.101135544,-1.6893905,-0.67306423,-1.2142148,0.19411461,0.5512512,0.72792584,-0.44443366,-1.7307138,1.1537246,-0.81157696,-0.97414565,1.1902539,1.281999,1.2191423,-0.98961383,-1.1624908,0.3281082,-0.25804934,-1.1020086,1.6695693,-0.053345583,0.06617385,-1.6607168,1.8418406,0.60733277,-0.15777509,-0.08011612,-0.8229954,0.6169548,0.49709508,-1.274192,-0.27425665,0.40294972,0.5888811,-0.68147355,1.7960726,-1.3082923,0.08752968,-0.6667943,-0.16753334,0.45940083,-1.8408748,0.36503845,1.6322956,-0.25676948,0.47496313
-0.42729697,-0.30462593,-0.08085221,1.9000918,1.7047782,-0.7739274,0.8340318,-0.7921499,0.6569789,0.10933039,-1.6826675,-0.6984734,-1.2456404,0.18156108,0.57724726,0.7642724,-0.46834207,-1.6952088,1.1125625,-0.81633633,-0.93338764,1.1975422,1.2759378,1.2268399,-1.0175841,-1.164545,0.35163584,-0.23816803,-1.1383826,1.6386491,-0.07277217,0.10248656,-1.9044718,1.4142075,0.6416603,0.08561699,-0.47093463,-0.78107613,0.30343896,0.8126445,-1.1025943,-0.39699528,0.40251315,0.5932799,-0.60145146,2.118728,-1.0600036,0.13636486,-0.66904086,-0.18742982,0.45833558,-1.8318908,0.3851816,1.6396633,-0.25355914,0.4593693
-0.43546313,-0.3075924,-0.26602864,1.7368116,1.6980923,-0.6958048,0.7342111,-0.79424936,0.67870235,0.12084721,-1.4526252,-0.67245615,-1.4334173,0.18758143,0.5859466,0.989117,-0.5999313,-1.6376656,1.1469799,-0.9215564,-0.85000116,1.2401135,1.2177278,1.2788142,-1.149878,-1.1589558,0.47209832,-0.16285723,-1.207633,1.5920668,-0.14170033,0.2992131,-1.8611906,1.3714461,0.7191991,-0.020159187,-0.56419325,-0.7595178,0.34358642,0.9530273,-1.0214615,-0.448167,0.22018163,0.6215288,-0.5083039,2.1634986,-1.0546277,0.047959663,-0.66342735,-0.24909714,0.50273234,-1.8027506,0.39559436,1.6573755,-0.26331744,0.42722553
